,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
0,SMEM,s_load_dwordx4,s[20:23],s[6:7],0x20,,,2024,1,0,0,1,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
1,SMEM,s_load_dwordx8,s[12:19],s[6:7],0x0,,,2028,1,4,4,2,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
2,IMMED,s_waitcnt,lgkmcnt(0),,,,,2032,9,0,2408,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
3,SALU,s_cmp_lg_u32,s21,0,,,,4436,2,0,4,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
4,SALU,s_cselect_b64,s[0:1],-1,0,,,4440,2,0,0,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
5,SALU,s_cmp_eq_u32,s21,0,,,,4444,2,4,4,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
6,NEXT,s_cbranch_scc1,.LBB0_3,,,,,4448,8,0,4,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
7,VALU,v_mul_lo_u32,v6,v1,s21,,,4456,6,4,8,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
8,SALU,s_cmp_eq_u32,s22,0,,,,4464,2,0,4,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
9,SALU,s_mul_i32,s2,s9,s20,,,4468,2,4,4,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
10,VALU,v_mov_b32_e32,v2,s17,,,,4472,6,0,4,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
11,VALU,v_mov_b32_e32,v3,s19,,,,4476,6,0,8,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
12,SALU,s_cselect_b64,vcc,-1,0,,,4484,2,0,4,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
13,SALU,s_add_i32,s2,s8,s2,,,4488,2,0,0,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
14,VALU,v_cndmask_b32_e32,v8,v2,v3,vcc,,4488,6,0,4,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
15,VALU,v_mov_b32_e32,v2,s16,,,,4492,6,0,4,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
16,VALU,v_mov_b32_e32,v3,s18,,,,4496,6,0,8,0,0,0,4,0,0,1064,63388,33,263,166,2,0,0,25,5,5,0,48,3,3,0,15,6,0
