,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
0,SMEM,s_load_dword,s12,s[4:5],0x4,,,1624,1,4,0,1,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
1,SMEM,s_load_dwordx2,s[10:11],s[6:7],0x10,,,1628,1,4,0,2,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
2,SMEM,s_load_dwordx4,s[0:3],s[6:7],0x0,,,1632,1,4,0,3,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
3,VALU,v_mov_b32_e32,v3,0,,,,1632,6,4,4,3,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
4,IMMED,s_waitcnt,lgkmcnt(0),,,,,1636,9,0,8028,0,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
5,SALU,s_lshr_b32,s4,s12,16,,,9664,2,4,0,0,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
6,SALU,s_mul_i32,s9,s9,s4,,,9668,2,4,0,0,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
7,VALU,v_add_u32_e32,v1,s9,v1,,,9668,6,4,12,0,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
8,SALU,s_and_b32,s4,s12,0xffff,,,9684,2,4,0,0,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
9,SALU,s_mul_i32,s8,s8,s4,,,9688,2,4,0,0,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
10,VALU,v_add_u32_e32,v6,s8,v0,,,9688,6,4,0,0,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
11,VALU,v_add_u32_e32,v2,v4,v6,,,9692,6,4,8,0,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
12,VALU,v_lshlrev_b64,v[0:1],2,v[2:3],,,9704,6,4,0,0,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
13,VALU,v_mov_b32_e32,v5,s1,,,,9708,6,4,0,0,0,0,3,0,0,1220,58648,6,37,19,0,0,0,3,1,0,0,6,0,3,0,1,0,0
