,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
0,SMEM,s_load_dword,s9,s[4:5],0x4,,,6416,1,0,4,1,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
1,SMEM,s_load_dwordx4,s[0:3],s[6:7],0x0,,,6420,1,0,0,2,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
2,VALU,v_lshlrev_b32_e32,v1,2,v0,,,6424,6,4,4,2,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
3,VALU,v_and_b32_e32,v2,0x7c,v1,,,6432,6,4,4,2,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
4,IMMED,s_waitcnt,lgkmcnt(0),,,,,6436,9,0,2296,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
5,SALU,s_and_b32,s10,s9,0xffff,,,8720,2,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
6,SALU,s_lshl_b32,s4,s10,5,,,8724,2,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
7,SALU,s_lshl_b32,s5,s10,2,,,8728,2,0,0,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
8,VALU,v_mov_b32_e32,v4,0,,,,8728,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
9,VALU,v_add_u32_e32,v5,s5,v3,,,8732,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
10,LDS,ds_write_b32,v5,v4,,,,8748,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
11,VALU,v_add_u32_e32,v5,s5,v5,,,8752,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
12,LDS,ds_write_b32,v5,v4,,,,8768,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
13,VALU,v_add_u32_e32,v5,s5,v5,,,8772,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
14,LDS,ds_write_b32,v5,v4,,,,8788,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
15,VALU,v_add_u32_e32,v5,s5,v5,,,8792,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
16,LDS,ds_write_b32,v5,v4,,,,8808,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
17,VALU,v_add_u32_e32,v5,s5,v5,,,8812,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
18,SALU,s_add_i32,s6,s6,-8,,,8820,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
19,LDS,ds_write_b32,v5,v4,,,,8828,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
20,VALU,v_add_u32_e32,v5,s5,v5,,,8832,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
