,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
0,SMEM,s_load_dword,s1,s[4:5],0x4,,,1868,1,0,0,1,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
1,SMEM,s_load_dwordx2,s[2:3],s[6:7],0x18,,,1872,1,4,4,2,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
2,IMMED,s_waitcnt,lgkmcnt(0),,,,,1876,9,0,2300,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
3,SALU,s_lshr_b32,s0,s1,16,,,4172,2,0,4,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
4,SALU,s_mul_i32,s9,s9,s0,,,4176,2,0,0,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
5,VALU,v_add_u32_e32,v1,s9,v1,,,4180,6,4,16,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
6,SALU,s_and_b32,s1,s1,0xffff,,,4196,2,0,4,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
7,SALU,s_mul_i32,s8,s8,s1,,,4200,2,0,4,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
8,SALU,s_mul_i32,s14,s3,s2,,,4228,2,4,4,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
9,VALU,v_add3_u32,v0,v1,v0,s8,,4208,6,4,16,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
10,NEXT,s_cbranch_execz,.LBB0_3,,,,,4232,8,0,4,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
11,VALU,v_cvt_f32_u32_e32,v1,s0,,,,4240,6,4,4,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
12,SALU,s_sub_i32,s1,0,s0,,,4244,2,0,0,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
13,SMEM,s_load_dwordx2,s[10:11],s[4:5],0xc,,,4248,1,4,4,1,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
14,SMEM,s_load_dwordx2,s[2:3],s[6:7],0x0,,,4256,1,4,8,1,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
15,IMMED,s_nop,0,,,,,4252,9,0,4,1,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
16,SMEM,s_load_dwordx2,s[4:5],s[6:7],0x8,,,4264,1,0,4,2,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
17,SMEM,s_load_dwordx2,s[8:9],s[6:7],0x10,,,4268,1,0,0,3,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
18,VALU,v_rcp_iflag_f32_e32,v1,v1,,,,4284,6,16,0,3,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
19,SALU,s_mov_b64,s[12:13],0,,,,4288,2,4,4,3,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
20,IMMED,s_waitcnt,lgkmcnt(0),,,,,4292,9,0,300,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
21,SALU,s_mul_i32,s6,s10,s0,,,4588,2,0,4,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
22,VALU,v_mul_f32_e32,v1,0x4f7ffffe,v1,,,4596,6,4,16,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
23,VALU,v_cvt_u32_f32_e32,v1,v1,,,,4616,6,4,8,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
24,VALU,v_mul_lo_u32,v2,s1,v1,,,4628,6,4,692,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
25,VALU,v_mul_hi_u32,v2,v1,v2,,,5324,6,4,0,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
26,VALU,v_add_u32_e32,v1,v1,v2,,,5328,6,4,0,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
27,VALU,v_mul_hi_u32,v3,s11,v1,,,5332,6,4,0,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
28,VALU,v_ashrrev_i32_e32,v1,31,v0,,,5336,6,4,0,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
29,VALU,v_lshlrev_b64,v[1:2],2,v[0:1],,,5340,6,4,0,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
30,VALU,v_mul_lo_u32,v4,v3,s0,,,5344,6,4,0,0,0,0,0,0,0,1780,33764,22,171,87,2,0,0,16,8,0,0,27,1,6,0,5,2,0
