,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
0,SMEM,s_load_dword,s1,s[4:5],0x4,,,1920,1,0,0,1,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
1,SMEM,s_load_dwordx2,s[2:3],s[6:7],0x18,,,1924,1,4,4,2,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
2,IMMED,s_waitcnt,lgkmcnt(0),,,,,1928,9,0,2992,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
3,SALU,s_lshr_b32,s0,s1,16,,,4916,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
4,SALU,s_mul_i32,s9,s9,s0,,,4920,2,0,0,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
5,VALU,v_add_u32_e32,v1,s9,v1,,,4920,6,0,20,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
6,SALU,s_and_b32,s1,s1,0xffff,,,4940,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
7,SALU,s_mul_i32,s8,s8,s1,,,4944,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
8,SALU,s_mul_i32,s14,s3,s2,,,4972,2,4,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
9,VALU,v_add3_u32,v0,v1,v0,s8,,4948,6,0,20,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
10,NEXT,s_cbranch_execz,.LBB0_3,,,,,4976,8,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
11,VALU,v_cvt_f32_u32_e32,v1,s0,,,,4980,6,0,8,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
12,SALU,s_sub_i32,s1,0,s0,,,4988,2,0,0,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
13,SMEM,s_load_dwordx2,s[10:11],s[4:5],0xc,,,4992,1,4,4,1,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
14,SMEM,s_load_dwordx2,s[2:3],s[6:7],0x0,,,5000,1,4,8,1,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
15,IMMED,s_nop,0,,,,,4996,9,0,4,1,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
16,SMEM,s_load_dwordx2,s[4:5],s[6:7],0x8,,,5008,1,0,4,2,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
17,SMEM,s_load_dwordx2,s[8:9],s[6:7],0x10,,,5012,1,0,0,3,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
18,VALU,v_rcp_iflag_f32_e32,v1,v1,,,,5024,6,12,4,3,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
19,SALU,s_mov_b64,s[12:13],0,,,,5032,2,4,4,3,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
20,IMMED,s_waitcnt,lgkmcnt(0),,,,,5036,9,0,20,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
21,SALU,s_mul_i32,s6,s10,s0,,,5052,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
22,VALU,v_mul_f32_e32,v1,0x4f7ffffe,v1,,,5056,6,0,20,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
23,VALU,v_cvt_u32_f32_e32,v1,v1,,,,5076,6,0,12,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
24,VALU,v_mul_lo_u32,v2,s1,v1,,,5088,6,0,332,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
25,VALU,v_mul_hi_u32,v2,v1,v2,,,5420,6,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
26,VALU,v_add_u32_e32,v1,v1,v2,,,5424,6,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
27,VALU,v_mul_hi_u32,v3,s11,v1,,,5428,6,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
28,VALU,v_ashrrev_i32_e32,v1,31,v0,,,5432,6,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
29,VALU,v_lshlrev_b64,v[1:2],2,v[0:1],,,5436,6,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
30,VALU,v_mul_lo_u32,v4,v3,s0,,,5440,6,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
31,VALU,v_add_u32_e32,v5,1,v3,,,5444,6,0,24,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
32,VALU,v_readfirstlane_b32,s1,v3,,,,5468,6,0,24,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
33,SALU,s_add_i32,s7,s1,1,,,5468,2,0,0,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
34,SALU,s_cmp_ge_u32,s10,s0,,,,5492,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
35,SALU,s_cselect_b32,s7,s7,s1,,,5496,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
36,SALU,s_mul_i32,s0,s7,s0,,,5500,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
37,SALU,s_cmp_gt_u32,s11,s0,,,,5504,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
38,SALU,s_cselect_b64,s[0:1],-1,0,,,5508,2,0,0,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
39,SALU,s_cmp_lg_u64,s[0:1],0,,,,5512,2,4,136,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
40,SALU,s_addc_u32,s0,s7,0,,,5648,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
41,SALU,s_mul_i32,s6,s6,s0,,,5652,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
42,SALU,s_ashr_i32,s7,s6,31,,,5656,2,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
43,SALU,s_lshl_b64,s[10:11],s[6:7],2,,,5660,2,0,0,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
44,VALU,v_mov_b32_e32,v4,s5,,,,5660,6,0,8,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
45,VALU,v_add_co_u32_e64,v5,s[0:1],s4,v1,,5668,6,0,4,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
46,VALU,v_mov_b32_e32,v7,s9,,,,5672,6,0,8,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
47,VALU,v_add_co_u32_e32,v3,vcc,s8,v1,,5680,6,0,20,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
48,FLAT,global_load_dword,v7,v[5:6],off,,,5700,4,0,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
49,FLAT,global_load_dword,v8,v[3:4],off,,,5704,4,0,500,0,0,2,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
50,VALU,v_mov_b32_e32,v4,s3,,,,6204,6,0,4,0,0,2,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
51,VALU,v_mov_b32_e32,v5,s11,,,,6208,6,0,4,0,0,2,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
52,VALU,v_add_co_u32_e32,v3,vcc,s2,v1,,6212,6,0,8,0,0,2,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
53,VALU,v_add_co_u32_e64,v1,s[0:1],s10,v1,,6220,6,0,4,0,0,2,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
54,VALU,v_add_u32_e32,v0,s6,v0,,,6224,6,0,8,0,0,2,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
